"Colony","Head","Thorax","Abd1","Abd2"
18,"W","R","Y","G"
18,"W","Db","Y","R"
18,"W","O","Y","Db"
18,"W","W","Y","S"
18,"W","G","G","W"
18,"W","R","G","Y"
18,"W","Db","G","G"
18,"W","O","G","R"
18,"W","S","G","O"
18,"W","Y","G","S"
18,"W","R","R","W"
18,"W","Db","R","Y"
18,"W","O","R","G"
18,"W","S","R","Db"
18,"W","W","R","O"
18,"W","G","R","S"
18,"W","Db","Db","W"
18,"W","O","Db","Y"
18,"W","S","Db","R"
18,"W","W","Db","Db"
18,"W","Y","Db","O"
18,"W","O","O","Y"
18,"W","S","O","R"
18,"W","W","O","Db"
18,"W","Y","O","Db"
18,"W","G","O","O"
18,"W","Db","O","S"
19,"W","W","W","W"
19,"W","Y","W","Y"
19,"W","G","W","G"
19,"W","Lb","W","Lb"
19,"W","Db","W","Db"
19,"W","O","W","O"
19,"W","S","W","S"
19,"W","Y","Y","W"
19,"W","G","Y","Y"
19,"W","Lb","Y","G"
19,"W","Db","Y","Lb"
19,"W","O","Y","Db"
19,"W","S","Y","P"
19,"W","W","Y","S"
19,"W","Lb","G","Y"
19,"W","Db","G","G"
19,"W","O","G","Lb"
19,"W","S","G","O"
19,"W","Y","G","S"
19,"W","Lb","Lb","W"
19,"W","Db","Lb","Y"
19,"W","O","Lb","G"
19,"W","S","Lb","Db"
19,"W","W","Lb","O"
19,"W","G","Lb","S"
19,"W","Db","Db","W"
19,"W","O","Db","Y"
19,"W","S","Db","Lb"
19,"W","W","Db","Db"
19,"W","Y","Db","O"
19,"W","Lb","Db","S"
19,"W","O","O","Y"
19,"W","S","O","Lb"
19,"W","W","O","Db"
19,"W","Y","O","Db"
19,"W","G","O","O"
19,"W","Lb","S","Db"
19,"W","Db","S","O"
19,"Y","Y","W","W"
19,"Y","G","W","Y"
19,"Y","Lb","W","G"
19,"Y","Db","W","Lb"
19,"Y","O","W","Db"
19,"Y","W","W","S"
19,"Y","G","Y","W"
20,"Y","W","S","W"
20,"Y","Y","S","Y"
20,"Y","G","S","G"
20,"Y","Lb","S","Lb"
20,"Y","Db","S","Db"
20,"Y","O","S","O"
20,"Y","P","S","P"
20,"Y","S","S","S"
20,"G","G","W","W"
20,"G","Lb","W","Y"
20,"G","Db","W","G"
20,"G","O","W","Lb"
20,"G","P","W","Db"
20,"G","S","W","O"
20,"G","W","W","P"
20,"G","Y","W","S"
20,"G","Lb","Y","W"
20,"G","Db","Y","Y"
20,"G","O","Y","G"
20,"G","P","Y","Lb"
20,"G","S","Y","Db"
20,"G","W","Y","O"
20,"G","Y","Y","P"
20,"G","G","Y","S"
20,"G","Db","G","W"
20,"G","O","G","Y"
20,"G","P","G","G"
20,"G","S","G","Lb"
20,"G","W","G","Db"
20,"G","Y","G","O"
20,"G","G","G","P"
20,"G","Lb","G","S"
20,"G","S","Db","Y"
20,"G","W","Db","G"
20,"G","Y","Db","Lb"
20,"G","G","Db","Db"
20,"G","Lb","Db","O"
20,"G","Db","Db","P"
20,"G","O","Db","S"
20,"G","S","O","W"
20,"G","W","O","Y"
20,"G","Y","O","G"
20,"G","G","O","Lb"
20,"G","Lb","O","Db"
20,"G","Db","O","O"
20,"G","Db","P","Db"
20,"G","O","P","O"
20,"G","P","P","P"
20,"G","S","P","S"
20,"G","Y","S","W"
20,"G","G","S","Y"
20,"G","Lb","S","G"
20,"G","Db","S","Lb"
20,"G","O","S","Db"
20,"G","P","S","O"
20,"G","S","S","P"
20,"G","W","S","S"
20,"Lb","Lb","W","W"
20,"Lb","Db","W","Y"
20,"Lb","O","W","G"
20,"Lb","P","W","Lb"
20,"Lb","S","W","Db"
20,"Lb","W","W","O"
20,"Lb","Y","W","P"
20,"Lb","G","W","S"
20,"Lb","Db","Y","W"
20,"Lb","O","Y","Y"
20,"Lb","P","Y","G"
20,"Lb","S","Y","Lb"
20,"Lb","W","Y","Db"
20,"Lb","Y","Y","O"
20,"Lb","G","Y","P"
20,"Lb","Lb","Y","S"
16,"W","G","G","W"
16,"W","W","Y","S"
16,"W","G","G","W"
16,"W","LB","G","Y"
16,"W","DB","G","G"
16,"W","O","G","LB"
