Colony,Nest,Day,ScaledX,ScaledY,Density
2,Circle,6,3.911012168,1.5886191,High
2,Circle,7,3.570027594,1.548320456,High
2,Circle,7,3.576696165,1.55543326,High
2,Circle,7,3.866764381,1.639011799,High
2,Circle,7,4.082658205,1.484547461,High
2,Circle,8,3.562164097,1.291606094,High
2,Circle,8,3.696769457,1.644029001,High
2,Circle,9,3.528329654,1.303040839,High
2,Circle,9,3.619082046,1.204317513,High
2,Circle,9,3.93794518,1.420774467,High
2,Circle,9,4.018887049,1.52133922,High
2,Circle,10,3.54842736,1.173796091,High
2,Circle,10,3.694933921,0.853524229,High
2,Circle,10,3.801622419,1.498279867,High
2,Circle,10,3.86625,1.404185022,High
2,Circle,11,3.490842491,1.595238095,High
2,Circle,11,3.54090293,1.5,High
2,Circle,11,3.914529304,1.419413919,High
2,Circle,11,3.992673993,1.529304029,High
2,Circle,12,3.733480176,1.465368943,High
2,Circle,12,3.775811209,1.245698746,High
2,Circle,12,3.953744493,0.991800661,High
2,Circle,12,3.984758481,1.368608038,High
2,Circle,13,3.542124542,1.183760073,High
2,Circle,13,3.660779985,1.552612215,High
2,Circle,13,3.732600733,1.486569597,High
2,Circle,13,4.072847682,1.44468911,High
2,Tube,4,4.44092827,1.763361463,High
2,Tube,4,4.914934124,2.005942029,High
2,Tube,5,4.690375088,1.875442321,High
2,Tube,5,4.734607219,1.748053786,High
2,Tube,6,4.171952079,1.755343552,High
2,Tube,6,4.936305732,1.910828025,High
2,Tube,7,4.865248227,1.877659574,High
2,Tube,7,4.966383581,1.813517339,High
2,Tube,8,3.453389831,1.86970339,High
2,Tube,8,4.462137297,1.811748054,High
2,Tube,9,4.672364672,1.885683761,High
2,Tube,9,4.831917905,1.811748054,High
2,Tube,10,4.415546709,1.726233192,High
2,Tube,11,4.956077279,1.845322293,High
2,Tube,11,5.019503546,1.663120567,High
2,Tube,12,4.300847458,1.866172316,High
2,Tube,13,4.764453961,1.855817273,High
2,Tube,13,4.783687943,1.781914894,High
3,Circle,4,3.567220418,2.233044733,High
3,Circle,4,3.672043011,2.308243728,High
3,Circle,5,3.54483008,2.161966739,High
3,Circle,5,3.803419414,2.415141026,High
3,Circle,6,3.570386579,2.359591539,High
3,Circle,6,3.745755095,2.541848617,High
3,Circle,7,3.1640625,1.899350649,High
3,Circle,8,3.665565345,2.096182085,High
3,Circle,8,4.355244253,2.077922078,High
3,Circle,9,3.186879085,2.125393972,High
3,Circle,9,4.295437822,2.024159308,High
3,Circle,10,3.752747253,2.073869963,High
3,Circle,10,3.809088085,1.926169591,High
3,Circle,11,3.657611968,2.016029736,High
3,Circle,11,3.948412698,2.222222222,High
3,Circle,12,3.959990962,1.917932032,High
3,Circle,12,4.075914275,2.008830022,High
3,Circle,13,3.707569597,2.100122711,High
3,Circle,13,3.918192308,1.989010989,High
3,Tube,4,1.585279547,2.749469214,High
3,Tube,4,2.131824713,3.382422773,High
3,Tube,5,2.724172149,1.63363942,High
3,Tube,5,3.903444323,1.610867904,High
3,Tube,6,2.907581759,3.75181686,High
3,Tube,6,3.109516188,3.399558499,High
3,Tube,7,2.832853807,3.445281968,High
3,Tube,7,3.081922369,3.472529433,High
3,Tube,8,2.828282828,3.433742785,High
3,Tube,8,3.08224163,3.64992722,High
3,Tube,9,2.037235903,3.428502855,High
3,Tube,9,2.852290773,3.455932836,High
3,Tube,10,1.905728245,3.450097714,High
3,Tube,10,2.809575234,3.496520878,High
3,Tube,11,2.998168498,3.492673993,High
3,Tube,11,3.10175126,3.37113031,High
3,Tube,12,2.59272877,1.787457906,High
3,Tube,12,3.639122899,1.879669118,High
3,Tube,13,3.123188406,3.509057971,High
3,Tube,13,3.460599721,3.230474198,High
4,Circle,4,3.47650514,1.769456681,High
4,Circle,4,3.554572271,1.744100295,High
4,Circle,5,3.340675477,1.712555066,High
4,Circle,5,4.016152717,1.953010279,High
4,Circle,6,3.516886931,1.565712188,High
4,Circle,6,3.646755162,1.810471976,High
4,Circle,7,4.05543399,1.796134209,High
4,Circle,7,4.236263736,1.862637363,High
4,Circle,8,3.602564103,1.921245421,High
4,Circle,8,4.105825959,1.972713864,High
4,Circle,9,3.387918486,1.73580786,High
4,Circle,9,3.631732169,2.048762737,High
4,Circle,10,3.719912473,2.04595186,High
4,Circle,10,3.736263736,1.697802198,High
4,Circle,11,3.208241354,1.605960265,High
4,Circle,12,3.081268222,1.702501822,High
4,Circle,13,3.172238372,1.762354651,High
4,Circle,13,4.067765568,1.891941392,High
4,Tube,4,2.1945047,1.51904013,High
4,Tube,4,2.34318016,2.444688184,High
4,Tube,5,2.313999633,2.438816079,High
4,Tube,5,3.074114583,2.489224138,High
4,Tube,6,2.186813187,2.245421245,High
4,Tube,6,2.773522976,1.320811451,High
4,Tube,7,2.35052106,1.64609114,High
4,Tube,7,2.465353756,1.300145879,High
4,Tube,8,2.353225983,2.330180131,High
4,Tube,8,2.683150183,2.545177656,High
4,Tube,9,2.289251812,2.030797101,High
4,Tube,9,3.425524223,2.5,High
4,Tube,10,2.444204464,1.340293377,High
4,Tube,10,6.161560904,2.530999271,High
4,Tube,11,2.27217288,1.792763158,High
4,Tube,11,5.114022926,2.621300946,High
4,Tube,12,4.104803493,2.567321689,High
4,Tube,13,2.265512266,2.211399711,High
4,Tube,13,2.812947067,1.536123033,High
5,Circle,4,3.589466089,1.176046176,High
5,Circle,4,3.589650146,1.118804665,High
5,Circle,4,3.63997114,1.077440476,High
5,Circle,4,3.951652697,1.276725583,High
5,Circle,5,3.525877483,1.256438558,High
5,Circle,5,3.610101744,1.25181686,High
5,Circle,5,3.702477925,1.13870493,High
5,Circle,5,3.731226381,1.150072674,High
5,Circle,6,3.442742524,1.037563822,High
5,Circle,6,3.484075492,1.159130197,High
5,Circle,6,3.523965142,1.130477487,High
5,Circle,6,3.676470588,1.089324619,High
5,Circle,7,3.445896877,1.243645606,High
5,Circle,7,3.532438272,1.338658315,High
5,Circle,7,3.544540668,1.208545752,High
5,Circle,7,3.692810458,1.205519245,High
5,Circle,8,3.213507625,1.243041031,High
5,Circle,8,3.399903776,1.194021423,High
5,Circle,8,3.634713145,0.778867102,High
5,Circle,8,3.834422658,0.940450254,High
5,Circle,9,3.565722585,0.950132534,High
5,Circle,9,3.602033406,1.238803558,High
5,Circle,9,3.711402261,1.090444931,High
5,Circle,9,3.91563275,1.097738877,High
5,Circle,10,3.537563822,1.150012764,High
5,Circle,10,3.584541667,1.139492754,High
