Colony,Nest,Day,ScaledX,ScaledY,Bin,CoordID,Density
11,Tube,12,1.321564479,3.065572896,3,54,Low
11,Tube,12,4.597731349,4.069356755,5,62,Low
11,Tube,12,5.774276264,4.058007447,6,68,Low
11,Tube,12,6.534679891,2.138082867,7,80,Low
11,Tube,13,1.883664371,1.949837163,2,45,Low
11,Tube,13,1.175951452,3.228510433,3,54,Low
11,Tube,13,1.709729429,4.088102585,4,57,Low
11,Tube,13,6.302621464,3.040080282,7,77,Low
12,Circle,1,3.951567444,1.538301415,5,45,Low
12,Circle,2,3.419629895,2.152204935,7,26,Low
12,Circle,3,3.097499411,1.610270377,5,31,Low
12,Circle,4,3.095828923,1.987309946,6,25,Low
12,Circle,6,4.107496918,1.52614893,4,40,Low
12,Circle,7,3.978927203,2.777777778,8,56,Low
12,Circle,8,2.605105416,1.531468077,5,24,Low
12,Circle,10,2.938836072,1.302816901,4,71,Low
12,Circle,11,3.062611624,1.539005004,5,47,Low
12,Circle,12,2.848344881,1.22786759,3,36,Low
12,Tube,3,1.539735099,2.324012141,3,37,Low
12,Tube,5,2.866617539,1.562883198,2,24,Low
12,Tube,7,1.600223547,1.868479881,3,42,Low
12,Tube,7,3.502235469,3.125931446,5,67,Low
12,Tube,8,1.797520661,1.788129226,3,29,Low
12,Tube,8,3.011519534,3.379663787,5,55,Low
12,Tube,8,4.513523666,1.77310293,8,104,Low
12,Tube,9,1.441277412,2.626705044,3,43,Low
12,Tube,9,4.130116959,3.389376827,5,64,Low
12,Tube,9,4.803850512,3.198099415,6,71,Low
12,Tube,10,2.973843436,3.162885831,5,55,Low
12,Tube,10,5.277054667,3.144291558,6,75,Low
12,Tube,10,6.289202306,2.453824842,7,87,Low
12,Tube,11,1.416791918,2.603223187,3,30,Low
12,Tube,11,4.454933912,3.054507175,5,60,Low
12,Tube,11,4.853978474,3.153952039,6,65,Low
12,Tube,12,1.709977238,2.938163885,3,41,Low
12,Tube,12,2.688732929,3.272951442,4,51,Low
12,Tube,12,6.070751138,1.776365706,7,90,Low
12,Tube,13,3.67703533,1.25,1,13,Low
12,Tube,13,3.252688172,1.607142857,2,18,Low
12,Tube,13,5.184971198,3.382617127,6,72,Low
12,Tube,14,2.311743681,1.422458531,2,40,Low
12,Tube,14,4.041271722,3.199052133,5,73,Low
12,Tube,14,6.154225908,1.760466035,7,97,Low
13,Circle,1,3.103331286,1.336337019,7,12,Low
13,Circle,1,3.389981572,1.117936118,5,13,Low
13,Circle,1,4.110018428,1.076986077,5,16,Low
13,Circle,2,3.67760974,0.739749086,3,9,Low
13,Circle,2,3.958714392,0.847541095,4,10,Low
13,Circle,2,3.470479996,0.955333105,4,11,Low
13,Circle,3,3.434489832,0.707216745,3,8,Low
13,Circle,3,3.596780393,0.703258438,3,9,Low
13,Circle,3,3.541364104,1.202005041,6,14,Low
13,Circle,4,3.877374784,0.859958981,4,6,Low
13,Circle,4,3.472942573,0.993810449,5,8,Low
13,Circle,4,3.082901554,1.016839378,5,14,Low
13,Circle,6,3.378220141,1.088992974,5,11,Low
13,Circle,6,3.62412178,1.295862607,6,12,Low
13,Circle,6,3.222092116,1.2490242,6,18,Low
13,Circle,7,3.28689759,1.147087726,6,12,Low
13,Circle,7,3.008283133,1.086846762,5,13,Low
13,Circle,7,4.122740964,1.142068901,5,14,Low
13,Circle,8,3.520574537,0.966928053,4,11,Low
13,Circle,8,3.308506904,1.220651828,6,16,Low
13,Circle,8,3.297146138,1.466801759,7,17,Low
13,Circle,10,3.358237731,1.608839003,8,13,Low
13,Circle,10,3.641889153,1.651893966,8,14,Low
13,Circle,10,3.872357715,1.444218874,7,15,Low
13,Circle,11,4.119556914,1.14973262,6,9,Low
13,Circle,11,3.947669977,1.249045073,6,10,Low
13,Circle,11,3.665011459,1.050420168,5,11,Low
13,Circle,12,4.277777778,0.862068966,4,9,Low
13,Circle,12,3.710727969,0.996168582,5,12,Low
13,Circle,12,4.017241379,1.302681992,7,13,Low
13,Tube,3,2.677411919,1.046351199,2,9,Low
13,Tube,3,3.703148426,1.932158921,5,15,Low
13,Tube,3,4.389055472,1.964017991,6,16,Low
13,Tube,7,3.146563663,0.974808265,2,9,Low
13,Tube,7,2.709730082,0.982254281,2,10,Low
