"Colony","Nest","Day","ScaledX","ScaledY","Bin","CoordID","ColorID","Head","Sex","SexNumber","TotalNumber"
11,"Circle",9,3.972426471,2.085170956,5,148,"A,F,5,16","A","F",5,16
11,"Circle",10,3.475972687,0.854595102,2,15,"A,M,1,1","A","M",1,1
11,"Circle",10,3.31991619,1.025514123,2,18,"A,M,2,2","A","M",2,2
11,"Circle",10,5.014243871,1.05523917,2,42,"A,F,1,3","A","F",1,3
11,"Circle",10,3.710676085,2.597844637,7,101,"A,F,2,4","A","F",2,4
11,"Circle",10,3.675998102,2.112336155,5,106,"A,F,3,5","A","F",3,5
11,"Circle",10,3.81471375,1.768021646,4,109,"A,F,4,6","A","F",4,6
11,"Circle",10,4.062423713,1.82747174,5,111,"A,F,5,7","A","F",5,7
11,"Circle",10,3.519941605,1.356823923,3,116,"A,F,6,8","A","F",6,8
11,"Circle",10,3.111840861,1.300470808,3,125,"A,M,3,9","A","M",3,9
11,"Circle",10,3.004087566,1.421228811,3,128,"A,M,4,10","A","M",4,10
11,"Circle",10,2.465321088,0.871315441,2,135,"A,M,5,11","A","M",5,11
11,"Circle",10,2.463463273,1.737057436,4,139,"A,F,7,12","A","F",7,12
11,"Circle",10,2.587936907,2.145776833,6,143,"A,M,6,13","A","M",6,13
11,"Circle",10,3.04310169,1.900545195,5,147,"A,F,8,14","A","F",8,14
11,"Circle",10,2.641813555,2.591652538,7,156,"A,F,9,15","A","F",9,15
11,"Circle",11,3.049213918,0.838856775,2,9,"A,M,1,1","A","M",1,1
11,"Circle",11,2.823392857,0.973858616,2,11,"A,M,2,2","A","M",2,2
11,"Circle",11,4.058050442,3.18728461,8,45,"A,F,1,3","A","F",1,3
11,"Circle",11,2.372361929,1.931148748,5,79,"A,F,2,4","A","F",2,4
11,"Circle",11,2.887210972,2.391997423,6,91,"A,F,3,5","A","F",3,5
11,"Circle",11,3.636474595,1.456798601,3,118,"A,M,3,6","A","M",3,6
11,"Circle",11,4.181393594,1.062836892,2,126,"A,M,4,7","A","M",4,7
11,"Circle",11,4.053755523,1.319342784,3,128,"A,M,5,8","A","M",5,8
11,"Circle",11,3.588610088,2.052037923,5,137,"A,F,4,9","A","F",4,9
11,"Circle",11,3.64015648,2.700049705,7,142,"A,F,5,10","A","F",5,10
11,"Circle",11,4.328668999,2.90746134,8,149,"A,F,6,11","A","F",6,11
11,"Circle",11,3.674521355,2.932008468,8,151,"A,F,7,12","A","F",7,12
11,"Circle",11,4.420103093,1.444526878,3,171,"A,F,8,13","A","F",8,13
11,"Circle",11,4.876656848,1.119293078,2,173,"A,?,?,14","A","?",NA,14
11,"Circle",12,3.020597212,0.676337604,1,6,"A,M,1,1","A","M",1,1
11,"Circle",12,3.291885833,0.706480784,1,16,"A,M,2,2","A","M",2,2
11,"Circle",12,3.334589299,1.331951771,3,33,"A,M,3,3","A","M",3,3
11,"Circle",12,3.882191032,1.068198945,2,36,"A,M,4,4","A","M",4,4
11,"Circle",12,2.621200075,2.630619819,7,67,"A,F,1,5","A","F",1,5
11,"Circle",12,2.485555765,2.731098342,7,69,"A,F,2,6","A","F",2,6
11,"Circle",12,3.482793896,2.640668802,7,80,"A,F,3,7","A","F",3,7
11,"Circle",12,3.397386963,3.180732856,8,84,"A,F,4,8","A","F",4,8
11,"Circle",12,3.824415976,1.645943858,4,108,"A,F,5,9","A","F",5,9
11,"Circle",12,4.610022607,0.827053504,2,136,"A,F,6,10","A","F",6,10
11,"Circle",12,4.446119066,1.094574228,2,157,"A,F,7,11","A","F",7,11
11,"Circle",13,4.392254601,1.848159509,5,29,"A,F,1,1","A","F",1,1
11,"Circle",13,4.844708589,2.45398773,6,36,"A,F,2,2","A","F",2,2
11,"Circle",13,3.114135353,1.119631902,2,47,"A,F,3,3","A","F",3,3
11,"Circle",13,3.05278566,1.602760736,4,48,"A,F,4,4","A","F",4,4
11,"Circle",13,2.181110046,1.789365414,4,60,"A,F,5,5","A","F",5,5
11,"Circle",13,2.843174847,0.991819402,2,76,"A,M,1,6","A","M",1,6
11,"Circle",13,3.666282592,0.743865031,1,82,"A,M,2,7","A","M",2,7
11,"Circle",13,4.502172163,1.411042945,3,100,"A,F,6,8","A","F",6,8
11,"Circle",13,4.351355445,0.92791411,2,113,"A,M,3,9","A","M",3,9
11,"Circle",13,2.554319402,2.45398773,6,125,"A,F,7,10","A","F",7,10
11,"Circle",13,2.358128834,0.814162193,2,183,"A,?,?,?","A","?",NA,NA
11,"Circle",13,4.047800997,1.70117523,4,186,"A,F,8,11","A","F",8,11
11,"Tube",12,6.407945953,3.569987209,7,74,"A,M,1,1","A","M",1,1
11,"Tube",12,4.478563616,1.98297566,8,88,"A,M,2,2","A","M",2,2
11,"Tube",13,6.06314519,3.72825766,6,71,"A,M,1,1","A","M",1,1
11,"Tube",13,6.537055516,3.294681334,7,75,"A,M,2,2","A","M",2,2
11,"Tube",13,5.884168026,1.751954027,8,83,"A,M,3,3","A","M",3,3
11,"Tube",13,5.125408983,1.740610444,8,87,"A,M,4,4","A","M",4,4
12,"Tube",3,3.700638337,1.371105592,1,15,"A,M,1,1","A","M",1,1
12,"Tube",3,2.271891096,1.547706034,2,28,"A,M,2,2","A","M",2,2
12,"Tube",3,2.132082414,1.676477189,2,30,"A,M,3,3","A","M",3,3
12,"Tube",3,1.440397351,2.857492642,3,41,"A,F,1,4","A","F",1,4
12,"Tube",3,1.609639441,2.872209345,3,42,"A,M,4,5","A","M",4,5
12,"Tube",3,2.514716703,3.405689845,4,49,"A,M,5,6","A","M",5,6
12,"Tube",3,3.062301325,3.357247976,5,54,"A,F,2,7","A","F",2,7
12,"Tube",3,3.460264901,3.379935614,5,57,"A,M,6,8","A","M",6,8
12,"Tube",3,3.302060338,3.162864238,5,58,"A,M,7,9","A","M",7,9
12,"Tube",3,3.519131714,3.218051876,5,59,"A,M,8,10","A","M",8,10
12,"Tube",3,3.651582046,3.427764901,5,60,"A,M,9,11","A","M",9,11
12,"Tube",3,3.732523915,3.44616078,5,61,"A,M,10,12","A","M",10,12
12,"Tube",3,4.245768948,3.210080942,5,63,"A,M,11,13","A","M",11,13
12,"Tube",3,4.078979029,3.462717071,5,66,"A,M,12,14","A","M",12,14
12,"Tube",3,4.623497057,3.251777042,6,69,"A,M,13,15","A","M",13,15
12,"Tube",3,4.711797277,3.364606328,6,70,"A,F,3,16","A","F",3,16
12,"Tube",3,4.802551508,3.433283664,6,71,"A,M,14,17","A","M",14,17
12,"Tube",3,5.887293966,3.137110007,6,79,"A,M,15,18","A","M",15,18
12,"Tube",3,5.529188742,3.419179544,6,83,"A,M,16,19","A","M",16,19
12,"Tube",3,6.33124908,2.330143488,7,88,"A,M,17,20","A","M",17,20
12,"Tube",3,6.046725533,1.721854305,7,91,"A,M,18,21","A","M",18,21
12,"Tube",3,4.514348786,1.680156365,8,96,"A,M,19,22","A","M",19,22
