"Colony","Nest","Day","ScaledX","ScaledY","Bin","ScaledDist","Density","Sex","Ratio","Corner"
12,"Tube",5,4.568288504,1.60525608,8,0.964550593668629,"Low","M",0.793103448275862,"N"
12,"Tube",7,3.129657228,1.732488823,2,0.163098637000657,"Low","M",0.818181818181818,"N"
12,"Tube",7,2.431073025,1.467958271,2,0.206996522576038,"Low","M",0.818181818181818,"N"
12,"Tube",7,2.468330849,1.602086438,2,0.206111307650288,"Low","M",0.818181818181818,"N"
12,"Tube",7,2.274590164,1.795827124,2,0.227912133034106,"Low","M",0.818181818181818,"N"
12,"Tube",7,1.69709389,1.531296572,3,0.272156978288747,"Low","M",0.818181818181818,"Y"
12,"Tube",7,1.702682563,1.676602086,3,0.273604812509891,"Low","M",0.818181818181818,"Y"
12,"Tube",7,1.779061103,2.492548435,3,0.330275672612071,"Low","M",0.818181818181818,"Y"
12,"Tube",7,1.467958271,3.026266766,4,0.380672192283285,"Low","M",0.818181818181818,"Y"
12,"Tube",7,1.663561848,3.177160954,4,0.39116394835651,"Low","M",0.818181818181818,"Y"
12,"Tube",7,1.757637854,3.237704918,4,0.396196503192116,"Low","M",0.818181818181818,"Y"
12,"Tube",7,1.576005961,3.393256334,4,0.410949731184989,"Low","M",0.818181818181818,"Y"
12,"Tube",7,2.755836438,3.392945231,4,0.471361016103224,"Low","M",0.818181818181818,"Y"
12,"Tube",7,3.845007452,3.446348733,5,0.565176329073472,"Low","M",0.818181818181818,"N"
12,"Tube",7,4.04247392,3.103576751,5,0.578549981331583,"Low","F",0.818181818181818,"N"
12,"Tube",7,3.85494225,3.269994411,5,0.563344262680556,"Low","M",0.818181818181818,"N"
12,"Tube",7,4.294584575,3.227770119,5,0.601588018744944,"Low","M",0.818181818181818,"N"
12,"Tube",7,4.226279806,3.410333458,5,0.597697897206454,"Low","F",0.818181818181818,"N"
12,"Tube",7,4.664679583,3.461251863,6,0.636705527786157,"Low","M",0.818181818181818,"Y"
12,"Tube",7,4.476527571,3.30942623,5,0.618356414716618,"Low","M",0.818181818181818,"N"
12,"Tube",7,4.458830104,3.188338301,5,0.615783507697544,"Low","M",0.818181818181818,"N"
12,"Tube",7,4.680514158,3.11661699,6,0.63500241997742,"Low","M",0.818181818181818,"Y"
12,"Tube",7,4.603204173,3.233979136,6,0.628837907555905,"Low","M",0.818181818181818,"Y"
12,"Tube",7,4.743852459,3.36438152,6,0.642424591847589,"Low","F",0.818181818181818,"Y"
12,"Tube",7,5.137853949,3.19485842,6,0.67577556281715,"Low","M",0.818181818181818,"Y"
12,"Tube",7,5.320417288,3.316877794,6,0.692702143091568,"Low","F",0.818181818181818,"Y"
12,"Tube",7,5.448956781,3.376490313,6,0.704536469759859,"Low","M",0.818181818181818,"Y"
12,"Tube",7,5.607302534,3.414679583,6,0.718828609436779,"Low","M",0.818181818181818,"Y"
12,"Tube",7,5.763785395,3.245776826,6,0.731335429062068,"Low","M",0.818181818181818,"Y"
12,"Tube",7,6.223919523,2.786264903,7,0.785945943627715,"Low","F",0.818181818181818,"Y"
12,"Tube",7,6.127980626,2.378912072,7,0.808385478233554,"Low","M",0.818181818181818,"Y"
12,"Tube",7,5.650149031,1.421385991,8,0.891735528689597,"Low","F",0.818181818181818,"N"
12,"Tube",7,5.555761923,1.618852459,8,0.882363022466825,"Low","M",0.818181818181818,"N"
12,"Tube",7,5.273845007,1.477272727,8,0.909897179854202,"Low","F",0.818181818181818,"N"
12,"Tube",8,2.833709617,1.508264463,2,0.17274340443517,"Low","M",0.833333333333333,"N"
12,"Tube",8,2.638367769,1.703606311,2,0.195161480291284,"Low","M",0.833333333333333,"N"
12,"Tube",8,2.426746807,1.527047333,2,0.208187334588315,"Low","F",0.833333333333333,"N"
12,"Tube",8,2.114951165,1.671675432,2,0.237911252109226,"Low","M",0.833333333333333,"N"
12,"Tube",8,1.987227648,1.607813674,2,0.247730344768021,"Low","M",0.833333333333333,"N"
12,"Tube",8,1.631605935,1.681692337,3,0.279865193829546,"Low","M",0.833333333333333,"Y"
12,"Tube",8,1.606560856,1.862007889,3,0.286145492758762,"Low","M",0.833333333333333,"Y"
12,"Tube",8,1.476333584,1.937139369,3,0.299021779356731,"Low","M",0.833333333333333,"Y"
12,"Tube",8,1.408715252,1.714250563,3,0.299780667444667,"Low","M",0.833333333333333,"Y"
12,"Tube",8,1.606560856,2.645880917,3,0.345150485502745,"Low","M",0.833333333333333,"Y"
12,"Tube",8,1.646632231,2.796143877,3,0.357744412820925,"Low","M",0.833333333333333,"Y"
12,"Tube",8,1.704231781,2.936388054,3,0.369671545695789,"Low","?",0.833333333333333,"Y"
12,"Tube",8,3.219383922,3.089782119,5,0.505765843845415,"Low","M",0.833333333333333,"N"
12,"Tube",8,3.50864012,3.258827949,5,0.532868193103386,"Low","M",0.833333333333333,"N"
12,"Tube",8,3.726521412,3.146130729,5,0.550886000881547,"Low","M",0.833333333333333,"N"
12,"Tube",8,4.228024042,3.166791886,5,0.595275797373385,"Low","M",0.833333333333333,"N"
