"Colony","Nest","CoordID","ScaledX","ScaledY"
11,"Circle",3,3.3351710816777,0.689845474613687
11,"Circle",4,3.89440949227373,0.693526490066225
11,"Circle",5,3.15489514348786,1.08351545253863
11,"Circle",6,4.07468543046358,1.08719646799117
11,"Circle",7,3.10338300220751,1.41832229580574
11,"Circle",8,4.12987306843267,1.43671633554084
11,"Circle",9,3.08130794701987,1.74209161147903
11,"Circle",10,4.15194812362031,1.74576710816777
11,"Circle",11,3.08315121412804,2.05666114790287
11,"Circle",12,4.15011037527594,2.06033664459161
11,"Circle",13,3.10522626931567,2.39514348785872
11,"Circle",14,4.13171633554084,2.39514348785872
11,"Circle",15,3.16041390728477,2.7741004415011
11,"Circle",16,4.07284768211921,2.77777593818985
11,"Circle",17,3.33333333333333,3.34988962472406
11,"Circle",18,3.89992825607064,3.34988962472406
12,"Circle",3,3.51111111111111,0.633333333333333
12,"Circle",4,3.98333333333333,0.630555555555556
12,"Circle",5,3.36111111111111,0.958333333333333
12,"Circle",6,4.13055555555556,0.958333333333333
12,"Circle",7,3.31388888888889,1.23888888888889
12,"Circle",8,4.17222222222222,1.23611111111111
12,"Circle",9,3.3,1.50555555555556
12,"Circle",10,4.19166666666667,1.50555555555556
12,"Circle",11,3.3,1.76944444444444
12,"Circle",12,4.19166666666667,1.76666666666667
12,"Circle",13,3.31666666666667,2.04722222222222
12,"Circle",14,4.175,2.05
12,"Circle",15,3.36111111111111,2.35833333333333
12,"Circle",16,4.13055555555556,2.35833333333333
12,"Circle",17,3.51111111111111,2.84722222222222
12,"Circle",18,3.98333333333333,2.85277777777778
13,"Circle",3,3.50626361655773,0.475217864923747
13,"Circle",4,3.77587145969499,0.475217864923747
13,"Circle",5,3.41911764705882,0.654956427015251
13,"Circle",6,3.86165577342048,0.656318082788671
13,"Circle",7,3.39460784313726,0.810185185185185
13,"Circle",8,3.88616557734205,0.811546840958606
13,"Circle",9,3.89842047930283,0.962690631808279
13,"Circle",10,3.38371459694989,0.962690631808279
13,"Circle",11,3.38507625272331,1.11247276688453
13,"Circle",12,3.89842047930283,1.11247276688453
13,"Circle",13,3.39460784313726,1.27042483660131
13,"Circle",14,3.88616557734205,1.27042483660131
13,"Circle",15,3.42047930283224,1.44335511982571
13,"Circle",16,3.86165577342048,1.44335511982571
13,"Circle",17,3.50490196078431,1.72113289760349
13,"Circle",18,3.77723311546841,1.72249455337691
14,"Circle",3,3.32784065934066,0.849818681318682
14,"Circle",4,3.97985164835165,0.849818681318682
14,"Circle",5,3.11904945054945,1.28571428571429
