Colony,MaxCircleDist
1,2.573992906
2,1.408336543
3,2.905176465
4,2.043972822
5,1.408336543
6,1.408336543
7,2.07471098
8,0.918697464
9,2.183718942
10,2.144720823
11,2.75609239
12,2.646741722
13,1.537274888
14,3.686255685
15,3.43745115
16,1.125170007
17,3.731766738
18,1.860220584
19,2.054269979
20,2.342228147
