"Colony","Nest","Day","ScaledX","ScaledY","Density"
11,"Tube",3,2.264583333,3.929166667,"Low"
11,"Tube",3,2.325,3.795833333,"Low"
11,"Tube",3,2.320833333,3.689583333,"Low"
11,"Tube",3,2.347916667,3.720833333,"Low"
11,"Tube",3,2.385416667,3.777083333,"Low"
11,"Tube",3,2.404166667,3.804166667,"Low"
11,"Tube",3,2.391666667,3.85625,"Low"
11,"Tube",3,2.458333333,3.916666667,"Low"
11,"Tube",3,2.335416667,3.989583333,"Low"
11,"Tube",3,2.308333333,3.945833333,"Low"
11,"Tube",3,2.429166667,4.016666667,"Low"
11,"Tube",3,2.454166667,4.033333333,"Low"
11,"Tube",3,2.472916667,4,"Low"
11,"Tube",3,2.46875,4.0625,"Low"
11,"Tube",3,2.427083333,4.066666667,"Low"
11,"Tube",3,2.5,3.704166667,"Low"
11,"Tube",3,2.479166667,3.772916667,"Low"
11,"Tube",3,2.577083333,3.702083333,"Low"
11,"Tube",3,2.5875,3.847916667,"Low"
11,"Tube",3,2.485416667,3.870833333,"Low"
11,"Tube",3,2.564583333,3.785416667,"Low"
11,"Tube",3,2.64375,3.822916667,"Low"
11,"Tube",3,2.714583333,3.75,"Low"
11,"Tube",3,2.758333333,3.816666667,"Low"
11,"Tube",3,2.722916667,3.810416667,"Low"
11,"Tube",3,2.766666667,3.845833333,"Low"
11,"Tube",3,2.791666667,3.958333333,"Low"
11,"Tube",3,2.666666667,3.954166667,"Low"
11,"Tube",3,2.710416667,3.98125,"Low"
11,"Tube",3,2.858333333,3.7,"Low"
11,"Tube",3,2.81875,3.833333333,"Low"
11,"Tube",3,2.914583333,3.945833333,"Low"
11,"Tube",3,3.029166667,3.985416667,"Low"
11,"Tube",3,2.952083333,3.804166667,"Low"
11,"Tube",3,2.989583333,3.789583333,"Low"
11,"Tube",3,2.954166667,3.758333333,"Low"
11,"Tube",3,2.983333333,3.75,"Low"
11,"Tube",3,3.014583333,3.752083333,"Low"
11,"Tube",3,3.0375,3.758333333,"Low"
