"Colony","Nest","ColorID","SFZ","SFZ_Full","Area","ScaledX","ScaledY","Density","Day"
1,"Circle","G,G,W,W",0.208333333333333,0.208333333333333,5.203608,3.538888889,1.109261111,"High",5
1,"Circle","G,LB,W,Y",0.0833333333333333,0.333333333333333,5.203608,4.675927778,2.057405556,"High",5
1,"Circle","G,O,X,X",0.166666666666667,0.166666666666667,5.203608,4.244444444,2.236111111,"High",5
1,"Circle","G,O,Y,G",0.208333333333333,0.208333333333333,5.203608,3.49815,2.005555556,"High",5
1,"Circle","G,P,G,G",0.291666666666667,0.375,5.203608,2.668516667,2.364816667,"High",5
1,"Circle","G,P,LB,Y",0.25,0.333333333333333,5.203608,3.075927778,1.990738889,"High",5
1,"Circle","G,W,LB,LB",0.291666666666667,0.333333333333333,5.203608,3.164816667,2.346294444,"High",5
1,"Circle","G,W,W,P",0.25,0.375,5.203608,3.742594444,2.183333333,"High",5
1,"Circle","W,B,O,G",0.25,0.375,5.203608,2.968516667,1.524072222,"High",5
1,"Circle","W,Db,X,X",0.25,0.25,5.203608,3.946294444,0.875927778,"High",5
1,"Circle","W,G,B,LB",0.25,0.25,5.203608,3.564816667,1.453705556,"High",5
1,"Circle","W,G,G,W",0,0.333333333333333,5.203608,4.120372222,1.590738889,"High",5
1,"Circle","W,G,Y,Y",0.166666666666667,0.333333333333333,5.203608,4.735183333,1.283333333,"High",5
1,"Circle","W,Lb,X,X",0.125,0.125,5.203608,4.142594444,1.087038889,"High",5
1,"Circle","W,O,B,P",0.166666666666667,0.166666666666667,5.203608,2.805555556,1.346294444,"High",5
1,"Circle","W,O,O,W",0.166666666666667,0.333333333333333,5.203608,4.55,1.387038889,"High",5
1,"Circle","W,P,O,Y",0.208333333333333,0.375,5.203608,4.155555556,2.922222222,"High",5
1,"Circle","W,P,P,W",0.166666666666667,0.166666666666667,5.203608,3.809261111,0.574072222,"High",5
1,"Circle","W,P,X,X",0,0.333333333333333,5.203608,3.590738889,0.879627778,"High",5
1,"Circle","W,W,DB,DB",0.208333333333333,0.375,5.203608,3.709261111,0.924072222,"High",5
1,"Circle","W,W,O,LB",0.25,0.333333333333333,5.203608,4.131483333,1.372222222,"High",5
1,"Circle","W,W,X,X",0.25,0.25,5.203608,3.709261111,0.518516667,"High",5
1,"Circle","W,Y,P,LB",0.166666666666667,0.166666666666667,5.203608,3.379627778,1.05,"High",5
