"Colony","Nest","Bin","Corner"
14,"Circle",1,"Y"
14,"Circle",2,"N"
14,"Circle",3,"N"
14,"Circle",4,"N"
14,"Circle",5,"N"
14,"Circle",6,"N"
14,"Circle",7,"N"
14,"Circle",8,"N"
14,"Tube",1,"Y"
14,"Tube",2,"N"
14,"Tube",3,"Y"
14,"Tube",4,"Y"
14,"Tube",5,"N"
14,"Tube",6,"Y"
14,"Tube",7,"Y"
14,"Tube",8,"N"
15,"Circle",1,"Y"
15,"Circle",2,"N"
15,"Circle",3,"N"
15,"Circle",4,"N"
15,"Circle",5,"N"
15,"Circle",6,"N"
15,"Circle",7,"N"
15,"Circle",8,"N"
15,"Tube",1,"Y"
15,"Tube",2,"N"
15,"Tube",3,"Y"
15,"Tube",4,"Y"
15,"Tube",5,"N"
15,"Tube",6,"Y"
15,"Tube",7,"Y"
15,"Tube",8,"N"
16,"Circle",1,"Y"
16,"Circle",2,"N"
16,"Circle",3,"N"
16,"Circle",4,"N"
16,"Circle",5,"N"
16,"Circle",6,"N"
16,"Circle",7,"N"
16,"Circle",8,"N"
16,"Tube",1,"Y"
16,"Tube",2,"N"
16,"Tube",3,"Y"
16,"Tube",4,"Y"
16,"Tube",5,"N"
16,"Tube",6,"Y"
16,"Tube",7,"Y"
16,"Tube",8,"N"
17,"Circle",1,"Y"
17,"Circle",2,"N"
17,"Circle",3,"N"
17,"Circle",4,"N"
17,"Circle",5,"N"
17,"Circle",6,"N"
17,"Circle",7,"N"
17,"Circle",8,"N"
17,"Tube",1,"Y"
17,"Tube",2,"N"
17,"Tube",3,"Y"
17,"Tube",4,"Y"
17,"Tube",5,"N"
17,"Tube",6,"Y"
17,"Tube",7,"Y"
17,"Tube",8,"N"
18,"Circle",1,"Y"
18,"Circle",2,"N"
18,"Circle",3,"N"
18,"Circle",4,"N"
18,"Circle",5,"N"
18,"Circle",6,"N"
18,"Circle",7,"N"
18,"Circle",8,"N"
18,"Tube",1,"Y"
18,"Tube",2,"N"
18,"Tube",3,"Y"
18,"Tube",4,"Y"
18,"Tube",5,"N"
18,"Tube",6,"Y"
18,"Tube",7,"Y"
18,"Tube",8,"N"
19,"Circle",1,"Y"
19,"Circle",2,"N"
19,"Circle",3,"N"
19,"Circle",4,"N"
19,"Circle",5,"N"
19,"Circle",6,"N"
19,"Circle",7,"N"
19,"Circle",8,"N"
19,"Tube",1,"Y"
19,"Tube",2,"N"
19,"Tube",3,"Y"
19,"Tube",4,"Y"
19,"Tube",5,"N"
19,"Tube",6,"Y"
19,"Tube",7,"Y"
19,"Tube",8,"N"
20,"Circle",1,"Y"
20,"Circle",2,"N"
20,"Circle",3,"N"
20,"Circle",4,"N"
20,"Circle",5,"N"
20,"Circle",6,"N"
20,"Circle",7,"N"
20,"Circle",8,"N"
20,"Tube",1,"Y"
20,"Tube",2,"N"
20,"Tube",3,"Y"
20,"Tube",4,"Y"
20,"Tube",5,"N"
20,"Tube",6,"Y"
20,"Tube",7,"Y"
20,"Tube",8,"N"
